"","YEAR","109","110","111","112","113","114","115","116","117","118","119","122","123","124","125","126","127","130","131","132","133","134","135","137","138","139","141","143","152","154","156","160","162","165","166","167","168","170","171","174","211","212","214","215","216","237"
"1",1990,4,3,4,4,4,4,4,4,4,4,3,3,4,4,5,4,0,3,4,4,4,4,0,3,4,4,2,3,5,5,4,4,4,4,4,4,3,3,0,0,0,0,0,0,0,0
"2",1991,3,3,7,7,3,5,7,5,3,3,5,3,3,3,3,4,0,3,3,2,3,2,0,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,0,0,0,0,0,0,0,0
"3",1992,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,0,3,3,3,3,3,0,1,1,1,1,0,3,3,3,3,3,0,2,3,3,2,0,0,0,0,0,0,0,0
"4",1993,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,2,2,3,3,2,3,3,3,2,2,2,3,3,3,2,0,0,0,0,0,0,0,0
"5",1994,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,0,1,3,3,2,2,0,2,3,3,2,3,3,3,3,3,2,2,2,2,2,3,0,0,0,0,0,0,0,0
"6",1995,3,4,3,4,3,3,3,3,3,3,3,2,3,3,3,3,0,2,3,3,5,3,0,1,2,2,2,2,3,3,3,3,1,2,3,3,3,3,0,0,0,0,0,0,0,0
"7",1996,3,3,3,3,3,2,3,3,3,2,3,2,3,3,4,3,0,1,3,3,3,3,0,2,3,3,3,3,2,3,4,3,2,3,3,3,3,2,0,0,0,0,0,0,0,0
"8",1997,3,3,2,3,3,2,3,3,3,2,1,0,3,3,3,4,0,0,3,3,3,3,0,0,3,2,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
"9",1998,3,3,3,3,3,3,3,3,3,2,3,0,3,3,2,3,0,0,3,3,2,3,0,0,3,3,0,0,3,4,4,3,2,3,3,3,3,3,0,0,0,0,0,0,0,0
"10",1999,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,0,3,3,2,3,0,0,3,3,1,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
"11",2000,3,3,3,3,3,3,3,4,3,3,2,0,3,3,3,3,0,0,5,5,5,5,0,0,3,3,0,0,3,3,3,3,3,1,2,3,3,3,0,0,0,0,0,0,0,3
"12",2001,3,4,3,3,3,3,3,3,3,3,4,0,4,3,3,3,3,0,3,3,3,3,0,0,3,1,0,0,3,3,3,3,2,2,3,3,3,2,0,0,0,0,0,0,0,2
"13",2012,3,2,2,3,2,3,3,3,3,3,2,0,3,3,3,3,1,0,3,2,2,1,0,0,3,3,0,0,2,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,3
"14",2013,2,1,2,2,2,3,3,3,2,2,2,0,3,2,2,2,2,0,2,2,2,2,2,0,3,3,0,0,1,1,1,1,1,2,2,2,1,2,2,0,0,0,0,0,0,1
"15",2014,2,1,2,1,2,3,3,3,2,2,1,0,2,3,2,2,2,0,2,2,2,2,2,0,3,3,0,0,3,2,3,2,0,3,3,3,3,3,2,0,0,0,0,0,0,3
"16",2015,3,3,0,1,0,3,1,2,3,1,3,0,1,2,2,2,1,0,3,3,3,3,3,0,2,2,0,0,2,1,3,4,3,2,0,1,1,0,1,0,2,0,0,0,0,2
"17",2016,3,1,0,1,1,1,1,1,3,0,2,0,0,4,3,3,2,0,3,1,3,2,2,0,2,2,0,0,1,2,1,2,1,1,0,2,0,2,2,2,1,1,1,1,1,1
